Fecha,Hora,Magnitud,Latitud,Longitud,Lugar,Profundidad
2021-02-25,17:00:44,3.5,15.63,-95.00,"65 km al SURESTE de  SALINA CRUZ, OAX",15 km 
2021-02-25,15:56:13,3.4,19.58,-104.06,"30 km al SURESTE de  EL GRULLO, JAL",49 km 
2021-02-25,15:19:45,3.8,15.03,-94.30,"130 km al SUROESTE de  TONALA, CHIS",9 km 
2021-02-25,15:09:01,3.5,15.64,-93.53,"34 km al OESTE de  PIJIJIAPAN, CHIS",92 km 
2021-02-25,13:11:24,3.4,16.50,-95.78,"61 km al NOROESTE de  TEHUANTEPEC, OAX",75 km 
2021-02-25,13:00:49,3.5,18.03,-99.71,"39 km al SUROESTE de  IGUALA, GRO",5 km 
2021-02-25,12:34:11,4.0,16.23,-95.55,"35 km al SUROESTE de  TEHUANTEPEC, OAX",46 km 
2021-02-25,12:22:06,3.1,16.44,-95.76,"58 km al OESTE de  TEHUANTEPEC, OAX",73 km 
2021-02-25,12:19:15,3.1,16.30,-98.16,"12 km al SUROESTE de  PINOTEPA NACIONAL, OAX",16 km 
2021-02-25,12:04:34,3.1,17.36,-100.94,"37 km al NOROESTE de  TECPAN, GRO",45 km 
2021-02-25,12:02:10,3.8,16.25,-99.09,"68 km al SURESTE de  SAN MARCOS, GRO",3 km 
2021-02-25,11:53:38,3.1,16.61,-98.40,"9 km al SUR de  OMETEPEC, GRO",5 km 
2021-02-25,11:37:55,3.1,16.80,-98.51,"17 km al NOROESTE de  OMETEPEC, GRO",18 km 
2021-02-25,10:41:25,3.5,16.99,-95.67,"69 km al OESTE de  MATIAS ROMERO, OAX",71 km 
2021-02-25,10:24:36,4.2,14.20,-93.16,"121 km al SUROESTE de  CD HIDALGO, CHIS",16 km 
2021-02-25,10:13:29,4.1,14.84,-94.28,"148 km al SUROESTE de  PIJIJIAPAN, CHIS",16 km 
2021-02-25,09:43:07,3.8,14.14,-93.16,"124 km al SUROESTE de  CD HIDALGO, CHIS",15 km 
2021-02-25,09:38:28,3.4,16.63,-99.24,"24 km al SURESTE de  SAN MARCOS, GRO",9 km 
2021-02-25,09:11:13,3.8,14.59,-93.12,"93 km al SUROESTE de  HUIXTLA, CHIS",91 km 
2021-02-25,09:05:35,3.4,16.08,-97.84,"37 km al SURESTE de  PINOTEPA NACIONAL, OAX",12 km 
2021-02-25,08:58:18,3.6,15.43,-95.02,"86 km al SUR de  SALINA CRUZ, OAX",32 km 
2021-02-25,08:46:56,3.5,16.11,-97.80,"38 km al SURESTE de  PINOTEPA NACIONAL, OAX",27 km 
2021-02-25,08:42:31,3.9,15.91,-95.10,"32 km al SURESTE de  SALINA CRUZ, OAX",13 km 
2021-02-25,08:41:03,3.3,17.15,-101.46,"47 km al SUROESTE de  PETATLAN, GRO",17 km 
2021-02-25,08:29:24,3.4,16.50,-99.11,"44 km al SURESTE de  SAN MARCOS, GRO",13 km 
2021-02-25,07:55:24,3.3,18.95,-102.93,"28 km al SUROESTE de  TEPALCATEPEC, MICH",42 km 
2021-02-25,07:24:55,3.0,16.35,-97.96,"10 km al ESTE de  PINOTEPA NACIONAL, OAX",14 km 
2021-02-25,07:10:18,3.5,16.42,-99.43,"42 km al SUR de  SAN MARCOS, GRO",7 km 
2021-02-25,06:38:14,3.6,18.96,-104.55,"26 km al SUROESTE de  MANZANILLO, COL",9 km 
2021-02-25,06:30:06,3.8,18.03,-101.78,"45 km al ESTE de  LAS GUACAMAYAS, MICH",24 km 
2021-02-25,06:10:40,3.7,15.57,-94.45,"94 km al SUROESTE de  TONALA, CHIS",17 km 
2021-02-25,05:55:34,3.6,18.23,-102.32,"22 km al NORTE de  LA MIRA, MICH",18 km 
2021-02-25,05:44:17,3.3,16.54,-96.65,"25 km al NORTE de  MIAHUATLAN, OAX",8 km 
2021-02-25,05:39:59,4.2,24.18,-109.01,"132 km al ESTE de  LA PAZ, BCS",10 km 
2021-02-25,04:32:43,3.8,15.88,-95.16,"33 km al SUR de  SALINA CRUZ, OAX",40 km 
2021-02-25,04:27:18,3.5,16.39,-98.32,"30 km al OESTE de  PINOTEPA NACIONAL, OAX",29 km 
2021-02-25,04:12:54,4.0,16.05,-95.10,"18 km al SURESTE de  SALINA CRUZ, OAX",64 km 
2021-02-25,04:05:33,4.0,16.41,-98.47,"32 km al SUR de  OMETEPEC, GRO",25 km 
2021-02-25,03:58:19,4.0,18.04,-103.11,"81 km al SUR de  COALCOMAN, MICH",5 km 
2021-02-25,03:53:04,3.8,16.47,-95.08,"8 km al NOROESTE de  JUCHITAN DE ZARAGOZA, OAX",68 km 
2021-02-25,03:52:00,3.9,15.69,-95.44,"60 km al SUROESTE de  SALINA CRUZ, OAX",48 km 
2021-02-25,03:21:47,3.3,16.22,-98.00,"15 km al SURESTE de  PINOTEPA NACIONAL, OAX",39 km 
2021-02-25,02:55:58,3.7,15.92,-95.22,"29 km al SUR de  SALINA CRUZ, OAX",49 km 
2021-02-25,02:41:12,3.8,16.66,-96.30,"37 km al SURESTE de  TLACOLULA, OAX",59 km 
2021-02-25,02:34:34,3.7,19.08,-105.24,"73 km al OESTE de  CIHUATLAN, JAL",5 km 
2021-02-25,02:14:37,3.6,16.99,-96.29,"21 km al ESTE de  TLACOLULA, OAX",61 km 
2021-02-25,02:08:28,3.3,16.24,-98.05,"11 km al SUR de  PINOTEPA NACIONAL, OAX",10 km 
2021-02-25,01:58:03,4.0,14.02,-93.38,"151 km al SUROESTE de  CD HIDALGO, CHIS",15 km 
2021-02-25,01:29:44,3.4,17.31,-97.29,"42 km al ESTE de  H TLAXIACO, OAX",68 km 
2021-02-25,00:29:43,4.0,13.91,-93.31,"151 km al SUROESTE de  CD HIDALGO, CHIS",23 km 
2021-02-25,00:12:55,3.6,19.09,-104.86,"35 km al SUROESTE de  CIHUATLAN, JAL",5 km 
2021-02-25,00:11:40,3.2,16.33,-98.14,"10 km al OESTE de  PINOTEPA NACIONAL, OAX",10 km 
2021-02-24, 23:51:54,3.3,16.08,-97.82,"39 km al SURESTE de  PINOTEPA NACIONAL, OAX",30 km 
2021-02-24, 23:46:49,4.1,17.54,-94.74,"44 km al SURESTE de  SAYULA DE ALEMAN, VER",145 km 
2021-02-24, 23:38:38,3.5,16.96,-99.66,"27 km al NORESTE de  ACAPULCO, GRO",36 km 
2021-02-24, 22:33:47,3.9,17.88,-95.55,"16 km al SUR de  ISLA, VER",106 km 
2021-02-24, 22:20:38,3.6,14.70,-93.32,"93 km al SUROESTE de  MAPASTEPEC, CHIS",28 km 
2021-02-24, 22:16:47,4.0,18.85,-107.06,"266 km al OESTE de  CIHUATLAN, JAL",10 km 
2021-02-24, 22:12:22,3.7,16.12,-97.24,"23 km al NORESTE de  RIO GRANDE, OAX",30 km 
2021-02-24, 21:56:20,3.2,16.04,-97.65,"24 km al OESTE de  RIO GRANDE, OAX",36 km 
2021-02-24, 21:47:40,3.6,16.03,-97.66,"24 km al OESTE de  RIO GRANDE, OAX",13 km 
2021-02-24, 21:44:35,3.3,16.14,-97.94,"25 km al SURESTE de  PINOTEPA NACIONAL, OAX",10 km 
2021-02-24, 21:31:56,3.5,16.33,-98.22,"18 km al OESTE de  PINOTEPA NACIONAL, OAX",17 km 
2021-02-24, 21:27:44,3.4,16.02,-96.93,"23 km al NORESTE de  PUERTO ESCONDIDO, OAX",26 km 
2021-02-24, 21:21:35,3.5,15.89,-97.27,"22 km al SURESTE de  RIO GRANDE, OAX",4 km 
2021-02-24, 20:51:09,3.5,18.58,-106.27,"194 km al SUROESTE de  CIHUATLAN, JAL",15 km 
2021-02-24, 20:46:26,3.4,18.76,-104.49,"37 km al SUROESTE de  MANZANILLO, COL",11 km 
2021-02-24, 20:43:45,3.0,19.18,-104.29,"15 km al NORTE de  MANZANILLO, COL",34 km 
2021-02-24, 20:22:45,3.6,15.40,-94.93,"91 km al SURESTE de  SALINA CRUZ, OAX",19 km 
2021-02-24, 20:19:36,3.0,19.30,-104.70,"16 km al NOROESTE de  CIHUATLAN, JAL",30 km 
2021-02-24, 20:11:59,3.2,16.41,-95.13,"12 km al OESTE de  JUCHITAN DE ZARAGOZA, OAX",4 km 
2021-02-24, 20:03:19,3.4,18.67,-106.24,"187 km al SUROESTE de  CIHUATLAN, JAL",15 km 
